book_chapter_verse,gloss,lemma,normalized,book,chapter
1CO 10:19,What then do I mean That what is sacrificed to an idol anything is or that an idol anything is,τίς οὖν φημί ὅτι εἰδωλόθυτος τὶς εἰμί ἤ ὅτι εἴδωλον τὶς εἰμί,τί οὖν φημι ὅτι εἰδωλόθυτον τί ἐστιν ἤ ὅτι εἴδωλον τί ἐστιν,1 Corinthians,1 Corinthians 10
1CO 10:2,and all into - Moses were baptized in the cloud and in the sea,καί πᾶς εἰς ὁ Μωϋσῆς βαπτίζω ἐν ὁ νεφέλη καί ἐν ὁ θάλασσα,καί πάντες εἰς τόν Μωϋσῆν ἐβαπτίσαντο ἐν τῇ νεφέλῃ καί ἐν τῇ θαλάσσῃ,1 Corinthians,1 Corinthians 10
1CO 10:20,Rather that what sacrifice to demons and not to God they sacrifice Not I do wish now you fellow partakers - with demons to be,ἀλλά ὅτι ὅς θύω δαιμόνιον καί οὐ θεός θύω οὐ θέλω δέ σύ κοινωνός ὁ δαιμόνιον γίνομαι,ἀλλ’ ὅτι ἅ θύουσιν δαιμονίοις καί οὐ Θεῷ θύουσιν οὐ θέλω δέ ὑμᾶς κοινωνούς τῶν δαιμονίων γίνεσθαι,1 Corinthians,1 Corinthians 10
1CO 10:21,Not you are able [the] cup of [the] Lord to drink and [the] cup of demons Not you are able of [the] table of [the] Lord to partake and of [the] table of demons,οὐ δύναμαι ποτήριον κύριος πίνω καί ποτήριον δαιμόνιον οὐ δύναμαι τράπεζα κύριος μετέχω καί τράπεζα δαιμόνιον,οὐ δύνασθε ποτήριον Κυρίου πίνειν καί ποτήριον δαιμονίων οὐ δύνασθε τραπέζης Κυρίου μετέχειν καί τραπέζης δαιμονίων,1 Corinthians,1 Corinthians 10
1CO 10:22,Or do we provoke to jealousy the Lord Not stronger than He are we,ἤ παραζηλόω ὁ κύριος μή ἰσχυρός αὐτός εἰμί,ἤ παραζηλοῦμεν τόν Κύριον μή ἰσχυρότεροι αὐτοῦ ἐσμεν,1 Corinthians,1 Corinthians 10
1CO 10:23,All things are lawful but not all things are profitable All things are lawful but not all edify,πᾶς ἔξεστι(ν) ἀλλά οὐ πᾶς συμφέρω πᾶς ἔξεστι(ν) ἀλλά οὐ πᾶς οἰκοδομέω,Πάντα ἔξεστιν ἀλλ’ οὐ πάντα συμφέρει πάντα ἔξεστιν ἀλλ’ οὐ πάντα οἰκοδομεῖ,1 Corinthians,1 Corinthians 10
1CO 10:24,No one the [good] of himself let seek but that of the other,μηδείς ὁ ἑαυτοῦ ζητέω ἀλλά ὁ ὁ ἕτερος,μηδείς τό ἑαυτοῦ ζητείτω ἀλλά τό τοῦ ἑτέρου,1 Corinthians,1 Corinthians 10
1CO 10:25,Everything - in the meat market being sold eat nothing inquiring on account of - conscience,πᾶς ὁ ἐν μάκελλον πωλέω ἐσθίω μηδείς ἀνακρίνω διά ὁ συνείδησις,Πᾶν τό ἐν μακέλλῳ πωλούμενον ἐσθίετε μηδέν ἀνακρίνοντες διά τήν συνείδησιν,1 Corinthians,1 Corinthians 10
1CO 10:26,The Lord’s for [is] the earth and the fullness of it,ὁ κύριος γάρ ὁ γῆ καί ὁ πλήρωμα αὐτός,τοῦ Κυρίου γάρ ἡ γῆ καί τό πλήρωμα αὐτῆς,1 Corinthians,1 Corinthians 10
1CO 10:27,If anyone invites you of the unbelieving and you wish to go everything - being set before you eat nothing inquiring on account of - conscience,εἰ τὶς καλέω σύ ὁ ἄπιστος καί θέλω πορεύομαι πᾶς ὁ παρατίθημι σύ ἐσθίω μηδείς ἀνακρίνω διά ὁ συνείδησις,εἴ τις καλεῖ ὑμᾶς τῶν ἀπίστων καί θέλετε πορεύεσθαι πᾶν τό παρατιθέμενον ὑμῖν ἐσθίετε μηδέν ἀνακρίνοντες διά τήν συνείδησιν,1 Corinthians,1 Corinthians 10
1CO 10:28,If however anyone to you should say This offered to an idol is not do eat on account of him - having shown [it] and - conscience,ἐάν δέ τὶς σύ λέγω οὗτος ἱερόθυτος εἰμί μή ἐσθίω διά ἐκεῖνος ὁ μηνύω καί ὁ συνείδησις,ἐάν δέ τις ὑμῖν εἴπῃ Τοῦτο ἱερόθυτον ἐστιν μή ἐσθίετε δι’ ἐκεῖνον τόν μηνύσαντα καί τήν συνείδησιν,1 Corinthians,1 Corinthians 10
1CO 10:29,[the] conscience now I am saying not - your own but that of the other that what for the freedom of me is judged by another’s conscience,συνείδησις δέ λέγω οὐχί ὁ ἑαυτοῦ ἀλλά ὁ ὁ ἕτερος ἵνα τίς γάρ ὁ ἐλευθερία ἐγώ κρίνω ὑπό ἄλλος συνείδησις,συνείδησιν δέ λέγω οὐχί τήν ἑαυτοῦ ἀλλά τήν τοῦ ἑτέρου ἵνα τί γάρ ἡ ἐλευθερία μου κρίνεται ὑπό ἄλλης συνειδήσεως,1 Corinthians,1 Corinthians 10
1CO 10:3,and all the same spiritual food ate,καί πᾶς ὁ αὐτός πνευματικός βρῶμα ἐσθίω,καί πάντες τό αὐτό πνευματικόν βρῶμα ἔφαγον,1 Corinthians,1 Corinthians 10
1CO 10:30,If I with thankfulness partake why am I denounced for that which I give thanks,εἰ ἐγώ χάρις μετέχω τίς βλασφημέω ὑπέρ ὅς ἐγώ εὐχαριστέω,εἰ ἐγώ χάριτι μετέχω τί βλασφημοῦμαι ὑπέρ οὗ ἐγώ εὐχαριστῶ,1 Corinthians,1 Corinthians 10
1CO 10:31,Whether therefore you eat or drink or whatever you do all things to the glory of God do,εἴτε οὖν ἐσθίω εἴτε πίνω εἴτε τὶς ποιέω πᾶς εἰς δόξα θεός ποιέω,Εἴτε οὖν ἐσθίετε εἴτε πίνετε εἴτε τι ποιεῖτε πάντα εἰς δόξαν Θεοῦ ποιεῖτε,1 Corinthians,1 Corinthians 10
1CO 10:32,Without offense both to Jews be you and Greeks and to the church - of God,ἀπρόσκοπος καί Ἰουδαῖος γίνομαι καί Ἕλλην καί ὁ ἐκκλησία ὁ θεός,ἀπρόσκοποι καί Ἰουδαίοις γίνεσθε καί Ἕλλησιν καί τῇ ἐκκλησίᾳ τοῦ Θεοῦ,1 Corinthians,1 Corinthians 10
1CO 10:33,as I also all in all things please not seeking the of myself profit but that of the many that they may be saved,καθώς κἀγώ πᾶς πᾶς ἀρέσκω μή ζητέω ὁ ἐμαυτοῦ σύμφορος ἀλλά ὁ ὁ πολύς ἵνα σῴζω,καθώς κἀγώ πάντα πᾶσιν ἀρέσκω μή ζητῶν τό ἐμαυτοῦ σύμφορον ἀλλά τό τῶν πολλῶν ἵνα σωθῶσιν,1 Corinthians,1 Corinthians 10
1CO 10:4,and all the same spiritual drank drink they were drinking for from [the] spiritual accompanying [them] rock the rock then was - Christ,καί πᾶς ὁ αὐτός πνευματικός πίνω πόμα πίνω γάρ ἐκ πνευματικός ἀκολουθέω πέτρα ὁ πέτρα δέ εἰμί ὁ Χριστός,καί πάντες τό αὐτό πνευματικόν ἔπιον πόμα ἔπινον γάρ ἐκ πνευματικῆς ἀκολουθούσης πέτρας ἡ πέτρα δέ ἦν ὁ Χριστός,1 Corinthians,1 Corinthians 10
1CO 10:5,Nevertheless not with - most of them was well pleased - God they were strewn for in the wilderness,ἀλλά οὐ ἐν ὁ πολύς αὐτός εὐδοκέω ὁ θεός καταστρώννυμι γάρ ἐν ὁ ἔρημος,ἀλλ’ οὐκ ἐν τοῖς πλείοσιν αὐτῶν εὐδόκησεν ὁ Θεός κατεστρώθησαν γάρ ἐν τῇ ἐρήμῳ,1 Corinthians,1 Corinthians 10
1CO 10:6,These things now types to us have become for - not to be us desirers of evil things as they also desired,οὗτος δέ τύπος ἐγώ γίνομαι εἰς ὁ μή εἰμί ἐγώ ἐπιθυμητής κακός καθώς κἀκεῖνος ἐπιθυμέω,Ταῦτα δέ τύποι ἡμῶν ἐγενήθησαν εἰς τό μή εἶναι ἡμᾶς ἐπιθυμητάς κακῶν καθώς κἀκεῖνοι ἐπεθύμησαν,1 Corinthians,1 Corinthians 10
1CO 10:7,Neither idolaters are you to be as some of them as it has been written Sat down the people to eat and to drink and rose up to play,μηδέ εἰδωλολάτρης γίνομαι καθώς τὶς αὐτός ὥσπερ γράφω καθίζω ὁ λαός ἐσθίω καί πίνω καί ἀνίστημι παίζω,μηδέ εἰδωλολάτραι γίνεσθε καθώς τινες αὐτῶν ὥσπερ γέγραπται Ἐκάθισεν ὁ λαός φαγεῖν καί πεῖν καί ἀνέστησαν παίζειν,1 Corinthians,1 Corinthians 10
1CO 10:8,Neither should we commit sexual immorality as some of them committed sexual immorality and fell in one day twenty thousand,μηδέ πορνεύω καθώς τὶς αὐτός πορνεύω καί πίπτω εἷς ἡμέρα εἰκοσιτρεῖς χιλιάς,μηδέ πορνεύωμεν καθώς τινες αὐτῶν ἐπόρνευσαν καί ἔπεσαν μιᾷ ἡμέρᾳ εἰκοσιτρεῖς χιλιάδες,1 Corinthians,1 Corinthians 10
1CO 10:9,Neither should we test the Christ as some of them tested and by - serpents were destroyed,μηδέ ἐκπειράζω ὁ κύριος καθώς τὶς αὐτός πειράζω καί ὑπό ὁ ὄφις ἀπόλλυμι,μηδέ ἐκπειράζωμεν τόν Κύριον καθώς τινες αὐτῶν ἐπείρασαν καί ὑπό τῶν ὄφεων ἀπώλλυντο,1 Corinthians,1 Corinthians 10
1CO 11:1,Imitators of me be as I also [am] of Christ,μιμητής ἐγώ γίνομαι καθώς κἀγώ Χριστός,μιμηταί μου γίνεσθε καθώς κἀγώ Χριστοῦ,1 Corinthians,1 Corinthians 11
1CO 11:10,Because of this ought the woman authority to have on the head on account of the angels,διά οὗτος ὀφείλω ὁ γυνή ἐξουσία ἔχω ἐπί ὁ κεφαλή διά ὁ ἄγγελος,διά τοῦτο ὀφείλει ἡ γυνή ἐξουσίαν ἔχειν ἐπί τῆς κεφαλῆς διά τούς ἀγγέλους,1 Corinthians,1 Corinthians 11
1CO 11:11,However neither [is] woman separate from man nor man separate from woman in [the] Lord,πλήν οὔτε γυνή χωρίς ἀνήρ οὔτε ἀνήρ χωρίς γυνή ἐν κύριος,πλήν οὔτε γυνή χωρίς ἀνδρός οὔτε ἀνήρ χωρίς γυναικός ἐν Κυρίῳ,1 Corinthians,1 Corinthians 11
1CO 11:12,Just as for the woman of the man [is] so also the man by the woman [is] the however all things of - God,ὥσπερ γάρ ὁ γυνή ἐκ ὁ ἀνήρ οὕτω καί ὁ ἀνήρ διά ὁ γυνή ὁ δέ πᾶς ἐκ ὁ θεός,ὥσπερ γάρ ἡ γυνή ἐκ τοῦ ἀνδρός οὕτως καί ὁ ἀνήρ διά τῆς γυναικός τά δέ πάντα ἐκ τοῦ Θεοῦ,1 Corinthians,1 Corinthians 11
1CO 11:13,In you yourselves judge Becoming is it for a woman revealed - to God to pray,ἐν σύ αὐτός κρίνω πρέπω εἰμί γυνή ἀκατακάλυπτος ὁ θεός προσεύχομαι,ἐν ὑμῖν αὐτοῖς κρίνατε πρέπον ἐστίν γυναῖκα ἀκατακάλυπτον τῷ Θεῷ προσεύχεσθαι,1 Corinthians,1 Corinthians 11
1CO 11:14,Not even - nature itself does teach you that a man indeed if he has long hair a dishonor to him it is,οὐδέ ὁ φύσις αὐτός διδάσκω σύ ὅτι ἀνήρ μέν ἐάν κομάω ἀτιμία αὐτός εἰμί,οὐδέ ἡ φύσις αὐτή διδάσκει ὑμᾶς ὅτι ἀνήρ μέν ἐάν κομᾷ ἀτιμία αὐτῷ ἐστιν,1 Corinthians,1 Corinthians 11
1CO 11:15,a woman however if she has long hair glory to her it is For the long hair instead of a covering is given to her,γυνή δέ ἐάν κομάω δόξα αὐτός εἰμί ὅτι ὁ κόμη ἀντί περιβόλαιον δίδωμι αὐτός,γυνή δέ ἐάν κομᾷ δόξα αὐτῇ ἐστιν ὅτι ἡ κόμη ἀντί περιβολαίου δέδοται αὐτῇ,1 Corinthians,1 Corinthians 11
1CO 11:16,If now anyone is inclined contentious to be we such custom no [other] have nor the churches - of God,εἰ δέ τὶς δοκέω φιλόνεικος εἰμί ἐγώ τοιοῦτος συνήθεια οὐ ἔχω οὐδέ ὁ ἐκκλησία ὁ θεός,Εἰ δέ τις δοκεῖ φιλόνεικος εἶναι ἡμεῖς τοιαύτην συνήθειαν οὐκ ἔχομεν οὐδέ αἱ ἐκκλησίαι τοῦ Θεοῦ,1 Corinthians,1 Corinthians 11
1CO 11:17,In this now instructing not I do praise because not for the better but for the worse you come together,οὗτος δέ παραγγέλλω οὐ ἐπαινέω ὅτι οὐ εἰς ὁ κρείττων ἀλλά εἰς ὁ ἥσσων συνέρχομαι,Τοῦτο δέ παραγγέλλων οὐκ ἐπαινῶ ὅτι οὐκ εἰς τό κρεῖσσον ἀλλά εἰς τό ἧσσον συνέρχεσθε,1 Corinthians,1 Corinthians 11
1CO 11:18,First indeed for coming together you in an assembly I hear divisions among you there to be and in part it I believe,πρῶτος μέν γάρ συνέρχομαι σύ ἐν ἐκκλησία ἀκούω σχίσμα ἐν σύ ὑπάρχω καί μέρος τὶς πιστεύω,πρῶτον μέν γάρ συνερχομένων ὑμῶν ἐν ἐκκλησίᾳ ἀκούω σχίσματα ἐν ὑμῖν ὑπάρχειν καί μέρος τι πιστεύω,1 Corinthians,1 Corinthians 11
1CO 11:19,It behooves for also factions among you there to be so that also the approved evident should become among you,δεῖ γάρ καί αἵρεσις ἐν σύ εἰμί ἵνα καί ὁ δόκιμος φανερός γίνομαι ἐν σύ,δεῖ γάρ καί αἱρέσεις ἐν ὑμῖν εἶναι ἵνα καί οἱ δόκιμοι φανεροί γένωνται ἐν ὑμῖν,1 Corinthians,1 Corinthians 11
1CO 11:2,I commend now you that in all things me you have remembered and as I delivered to you the teachings you are keeping,ἐπαινέω δέ σύ ὅτι πᾶς ἐγώ μιμνῄσκω καί καθώς παραδίδωμι σύ ὁ παράδοσις κατέχω,Ἐπαινῶ δέ ὑμᾶς ὅτι πάντα μου μέμνησθε καί καθώς παρέδωκα ὑμῖν τάς παραδόσεις κατέχετε,1 Corinthians,1 Corinthians 11
1CO 11:20,Coming therefore of you together in one place not it is [the] Lord’s supper to eat,συνέρχομαι οὖν σύ ἐπί ὁ αὐτός οὐ εἰμί κυριακός δεῖπνον ἐσθίω,Συνερχομένων οὖν ὑμῶν ἐπί τό αὐτό οὐκ ἔστιν κυριακόν δεῖπνον φαγεῖν,1 Corinthians,1 Corinthians 11
1CO 11:21,One for the own supper takes first in - eating and this [one] indeed is hungry that [one] however is drunken,ἕκαστος γάρ ὁ ἴδιος δεῖπνον προλαμβάνω ἐν ὁ ἐσθίω καί ὅς μέν πεινάω ὅς δέ μεθύω,ἕκαστος γάρ τό ἴδιον δεῖπνον προλαμβάνει ἐν τῷ φαγεῖν καί ὅς μέν πεινᾷ ὅς δέ μεθύει,1 Corinthians,1 Corinthians 11
1CO 11:22,No indeed houses not have you in which to eat and to drink Or the church - of God do you despise and put to shame those nothing having What shall I say to you Shall I praise you in this Not I praise [you],μή γάρ οἰκία οὐ ἔχω εἰς ὁ ἐσθίω καί πίνω ἤ ὁ ἐκκλησία ὁ θεός καταφρονέω καί καταισχύνω ὁ μή ἔχω τίς λέγω σύ ἐπαινέω σύ ἐν οὗτος οὐ ἐπαινέω,μή γάρ οἰκίας οὐκ ἔχετε εἰς τό ἐσθίειν καί πίνειν ἤ τῆς ἐκκλησίας τοῦ Θεοῦ καταφρονεῖτε καί καταισχύνετε τούς μή ἔχοντας τί εἴπω ὑμῖν ἐπαινέσω ὑμᾶς ἐν τούτῳ οὐκ ἐπαινῶ,1 Corinthians,1 Corinthians 11
1CO 11:23,I for received from the Lord that which also I delivered to you that the Lord Jesus in the night in which He was betrayed took bread,ἐγώ γάρ παραλαμβάνω ἀπό ὁ κύριος ὅς καί παραδίδωμι σύ ὅτι ὁ κύριος Ἰησοῦς ἐν ὁ νύξ ὅς παραδίδωμι λαμβάνω ἄρτος,ἐγώ γάρ παρέλαβον ἀπό τοῦ Κυρίου ὅ καί παρέδωκα ὑμῖν ὅτι ὁ Κύριος Ἰησοῦς ἐν τῇ νυκτί ᾗ παρεδίδετο ἔλαβεν ἄρτον,1 Corinthians,1 Corinthians 11
1CO 11:24,and having given thanks He broke [it] and said This of Me is the body which [is] for you this do in - of Me remembrance,καί εὐχαριστέω κλάω καί λέγω οὗτος ἐγώ εἰμί ὁ σῶμα ὁ ὑπέρ σύ οὗτος ποιέω εἰς ὁ ἐμός ἀνάμνησις,καί εὐχαριστήσας ἔκλασεν καί εἶπεν Τοῦτο μού ἐστιν τό σῶμα τό ὑπέρ ὑμῶν τοῦτο ποιεῖτε εἰς τήν ἐμήν ἀνάμνησιν,1 Corinthians,1 Corinthians 11
1CO 11:25,Likewise also the cup after - having supped saying This - cup the new covenant is in - My blood this do as often as if you might drink [it] in - of Me remembrance,ὡσαύτως καί ὁ ποτήριον μετά ὁ δειπνέω λέγω οὗτος ὁ ποτήριον ὁ καινός διαθήκη εἰμί ἐν ὁ ἐμός αἷμα οὗτος ποιέω ὁσάκις ἐάν πίνω εἰς ὁ ἐμός ἀνάμνησις,ὡσαύτως καί τό ποτήριον μετά τό δειπνῆσαι λέγων Τοῦτο τό ποτήριον ἡ καινή διαθήκη ἐστίν ἐν τῷ ἐμῷ αἵματι τοῦτο ποιεῖτε ὁσάκις ἐάν πίνητε εἰς τήν ἐμήν ἀνάμνησιν,1 Corinthians,1 Corinthians 11
1CO 11:26,As often as for if you may eat the bread this and the cup may drink the death of the Lord you proclaim until that He should come,ὁσάκις γάρ ἐάν ἐσθίω ὁ ἄρτος οὗτος καί ὁ ποτήριον πίνω ὁ θάνατος ὁ κύριος καταγγέλλω ἄχρι ὅς ἔρχομαι,ὁσάκις γάρ ἐάν ἐσθίητε τόν ἄρτον τοῦτον καί τό ποτήριον πίνητε τόν θάνατον τοῦ Κυρίου καταγγέλλετε ἄχρι οὗ ἔλθῃ,1 Corinthians,1 Corinthians 11
1CO 11:27,Therefore whoever - should eat the bread or should drink the cup of the Lord unworthily guilty will be of the body and of the blood of the Lord,ὥστε ὅς ἄν ἐσθίω ὁ ἄρτος ἤ πίνω ὁ ποτήριον ὁ κύριος ἀναξίως ἔνοχος εἰμί ὁ σῶμα καί ὁ αἷμα ὁ κύριος,ὥστε ὅς ἄν ἐσθίῃ τόν ἄρτον ἤ πίνῃ τό ποτήριον τοῦ Κυρίου ἀναξίως ἔνοχος ἔσται τοῦ σώματος καί τοῦ αἵματος τοῦ Κυρίου,1 Corinthians,1 Corinthians 11
1CO 11:28,Let examine however a man himself and in this manner of the bread let him eat and of the cup let him drink,δοκιμάζω δέ ἄνθρωπος ἑαυτοῦ καί οὕτω ἐκ ὁ ἄρτος ἐσθίω καί ἐκ ὁ ποτήριον πίνω,δοκιμαζέτω δέ ἄνθρωπος ἑαυτόν καί οὕτως ἐκ τοῦ ἄρτου ἐσθιέτω καί ἐκ τοῦ ποτηρίου πινέτω,1 Corinthians,1 Corinthians 11
1CO 11:29,The [one] for eating and drinking judgment on himself eats and drinks not discerning the body,ὁ γάρ ἐσθίω καί πίνω κρίμα ἑαυτοῦ ἐσθίω καί πίνω μή διακρίνω ὁ σῶμα,ὁ γάρ ἐσθίων καί πίνων κρίμα ἑαυτῷ ἐσθίει καί πίνει μή διακρίνων τό σῶμα,1 Corinthians,1 Corinthians 11
1CO 11:3,I want however you to know that of every man the head - Christ is [the] head now of [the] woman [is] the man [the] head now - of Christ - God,θέλω δέ σύ οἶδα ὅτι πᾶς ἀνήρ ὁ κεφαλή ὁ Χριστός εἰμί κεφαλή δέ γυνή ὁ ἀνήρ κεφαλή δέ ὁ Χριστός ὁ θεός,Θέλω δέ ὑμᾶς εἰδέναι ὅτι παντός ἀνδρός ἡ κεφαλή ὁ Χριστός ἐστιν κεφαλή δέ γυναικός ὁ ἀνήρ κεφαλή δέ τοῦ Χριστοῦ ὁ Θεός,1 Corinthians,1 Corinthians 11
1CO 11:30,Because of this among you many [are] weak and sick and are fallen asleep many,διά οὗτος ἐν σύ πολύς ἀσθενής καί ἄρρωστος καί κοιμάομαι ἱκανός,διά τοῦτο ἐν ὑμῖν πολλοί ἀσθενεῖς καί ἄρρωστοι καί κοιμῶνται ἱκανοί,1 Corinthians,1 Corinthians 11
1CO 11:31,If for ourselves we were judging not - we would come under judgment,εἰ δέ ἑαυτοῦ διακρίνω οὐ ἄν κρίνω,εἰ δέ ἑαυτούς διεκρίνομεν οὐκ ἄν ἐκρινόμεθα,1 Corinthians,1 Corinthians 11
1CO 11:32,Being judged however by the Lord we are disciplined so that not with the world we should be condemned,κρίνω δέ ὑπό ὁ κύριος παιδεύω ἵνα μή σύν ὁ κόσμος κατακρίνω,κρινόμενοι δέ ὑπό τοῦ Κυρίου παιδευόμεθα ἵνα μή σύν τῷ κόσμῳ κατακριθῶμεν,1 Corinthians,1 Corinthians 11
1CO 11:33,So then brothers of me coming together in order - to eat one another wait for,ὥστε ἀδελφός ἐγώ συνέρχομαι εἰς ὁ ἐσθίω ἀλλήλων ἐκδέχομαι,ὥστε ἀδελφοί μου συνερχόμενοι εἰς τό φαγεῖν ἀλλήλους ἐκδέχεσθε,1 Corinthians,1 Corinthians 11
1CO 11:34,If anyone is hungry at home let him eat so that not for judgment you might come together - And the other things as soon as - I might come I will set in order,εἰ τὶς πεινάω ἐν οἶκος ἐσθίω ἵνα μή εἰς κρίμα συνέρχομαι ὁ δέ λοιπός ὡς ἄν ἔρχομαι διατάσσω,εἴ τις πεινᾷ ἐν οἴκῳ ἐσθιέτω ἵνα μή εἰς κρίμα συνέρχησθε Τά δέ λοιπά ὡς ἄν ἔλθω διατάξομαι,1 Corinthians,1 Corinthians 11
1CO 11:4,Every man praying or prophesying [anything] on [his] head having dishonors the head of him,πᾶς ἀνήρ προσεύχομαι ἤ προφητεύω κατά κεφαλή ἔχω καταισχύνω ὁ κεφαλή αὐτός,πᾶς ἀνήρ προσευχόμενος ἤ προφητεύων κατά κεφαλῆς ἔχων καταισχύνει τήν κεφαλήν αὐτοῦ,1 Corinthians,1 Corinthians 11
1CO 11:5,Every now woman praying or prophesying uncovered with the head dishonors the head of her one for it is and the same - with having been shaven,πᾶς δέ γυνή προσεύχομαι ἤ προφητεύω ἀκατακάλυπτος ὁ κεφαλή καταισχύνω ὁ κεφαλή αὐτός εἷς γάρ εἰμί καί ὁ αὐτός ὁ ξυράω,πᾶσα δέ γυνή προσευχομένη ἤ προφητεύουσα ἀκατακαλύπτῳ τῇ κεφαλῇ καταισχύνει τήν κεφαλήν αὐτῆς ἕν γάρ ἐστιν καί τό αὐτό τῇ ἐξυρημένῃ,1 Corinthians,1 Corinthians 11
1CO 11:6,If for not covers her head a woman also let her be shorn If [it is] now disgraceful to a woman - to be shorn or to be shaven let her cover her head,εἰ γάρ οὐ κατακαλύπτω γυνή καί κείρω εἰ δέ αἰσχρός γυνή ὁ κείρω ἤ ξυράω κατακαλύπτω,εἰ γάρ οὐ κατακαλύπτεται γυνή καί κειράσθω εἰ δέ αἰσχρόν γυναικί τό κείρασθαι ἤ ξυρᾶσθαι κατακαλυπτέσθω,1 Corinthians,1 Corinthians 11
